id,Sections,Chebyshev Coding Exercises,Chebyshev Coding Exercises - Max Points,Chebyshev Coding Exercises - Submission Time,Chebyshev Coding Exercises - Lateness (H:M:S),Chebyshev Handwritten Exercises,Chebyshev Handwritten Exercises - Max Points,Chebyshev Handwritten Exercises - Submission Time,Chebyshev Handwritten Exercises - Lateness (H:M:S),Chebyshev Final Assessment,Chebyshev Final Assessment - Max Points,Chebyshev Final Assessment - Submission Time,Chebyshev Final Assessment - Lateness (H:M:S),Total Lateness (H:M:S)
21,2,13.0,14.0,2026-03-02 00:00:45 -0800,00:01:45,,8.0,,00:00:00,32.2,61.0,2026-03-01 23:46:20 -0800,00:00:00,00:01:45
22,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
23,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
24,1,,14.0,,00:00:00,,8.0,,00:00:00,61.0,61.0,2026-01-26 19:45:43 -0800,00:00:00,00:00:00
25,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
26,3,,14.0,,00:00:00,8.0,8.0,2026-01-27 20:51:39 -0800,00:00:00,45.1,61.0,2026-01-27 21:19:24 -0800,00:00:00,00:00:00
27,4,14.0,14.0,2026-01-23 14:24:56 -0800,00:00:00,8.0,8.0,2026-01-23 14:23:33 -0800,00:00:00,33.3,61.0,2026-01-23 14:46:37 -0800,00:00:00,00:00:00
28,1,,14.0,,00:00:00,,8.0,,00:00:00,34.2,61.0,2026-01-27 23:55:34 -0800,00:00:00,00:00:00
29,2,14.0,14.0,2026-01-27 10:55:20 -0800,00:00:00,,8.0,,00:00:00,41.3,61.0,2026-01-27 11:26:31 -0800,00:00:00,00:00:00
30,3,,14.0,,00:00:00,8.0,8.0,2026-01-28 15:46:16 -0800,00:00:00,52.0,61.0,2026-01-28 16:18:45 -0800,00:00:00,00:00:00
31,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
32,1,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
33,2,12.6667,14.0,2026-01-29 22:41:59 -0800,00:00:00,,8.0,,00:00:00,33.3,61.0,2026-01-29 22:56:25 -0800,00:00:00,00:00:00
34,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
35,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
36,1,,14.0,,00:00:00,,8.0,,00:00:00,33.0,61.0,2026-03-01 11:09:52 -0800,00:00:00,00:00:00
37,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
38,3,,14.0,,00:00:00,8.0,8.0,2026-01-31 13:42:48 -0800,00:00:00,44.0,61.0,2026-01-31 13:51:37 -0800,00:00:00,00:00:00
39,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
40,1,,14.0,,00:00:00,,8.0,,00:00:00,38.3,61.0,2026-02-18 22:52:13 -0800,00:00:00,00:00:00
41,2,14.0,14.0,2026-02-19 12:25:11 -0800,00:00:00,,8.0,,00:00:00,31.3,61.0,2026-02-19 12:50:00 -0800,00:00:00,00:00:00
42,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
43,4,14.0,14.0,2026-03-01 17:47:12 -0800,00:00:00,8.0,8.0,2026-03-01 16:45:56 -0800,00:00:00,59.0,61.0,2026-03-01 18:13:59 -0800,00:00:00,00:00:00
44,1,,14.0,,00:00:00,,8.0,,00:00:00,37.2,61.0,2026-03-01 18:22:38 -0800,00:00:00,00:00:00
45,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
46,3,,14.0,,00:00:00,8.0,8.0,2026-02-24 17:30:25 -0800,00:00:00,37.2,61.0,2026-02-24 17:38:58 -0800,00:00:00,00:00:00
47,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
48,1,,14.0,,00:00:00,,8.0,,00:00:00,39.2,61.0,2026-02-23 15:58:56 -0800,00:00:00,00:00:00
49,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
50,3,,14.0,,00:00:00,8.0,8.0,2026-03-01 21:08:19 -0800,00:00:00,54.0,61.0,2026-03-01 21:16:46 -0800,00:00:00,00:00:00
51,4,11.0,14.0,2026-02-24 00:58:19 -0800,00:00:00,8.0,8.0,2026-02-24 01:01:29 -0800,00:00:00,56.0,61.0,2026-02-24 01:08:00 -0800,00:00:00,00:00:00
52,1,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
53,2,14.0,14.0,2026-02-20 17:50:28 -0800,00:00:00,,8.0,,00:00:00,38.2,61.0,2026-02-20 17:55:43 -0800,00:00:00,00:00:00
54,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
55,4,14.0,14.0,2026-02-23 12:37:22 -0800,00:00:00,8.0,8.0,2026-02-24 23:39:37 -0800,00:00:00,21.3,61.0,2026-02-25 19:26:03 -0800,00:00:00,00:00:00
56,1,,14.0,,00:00:00,,8.0,,00:00:00,48.2,61.0,2026-02-19 00:30:02 -0800,00:00:00,00:00:00
57,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
58,3,,14.0,,00:00:00,8.0,8.0,2026-02-23 15:17:22 -0800,00:00:00,31.2,61.0,2026-02-23 15:25:50 -0800,00:00:00,00:00:00
59,4,12.0,14.0,2026-02-28 14:16:43 -0800,00:00:00,8.0,8.0,2026-02-28 13:38:10 -0800,00:00:00,48.1,61.0,2026-02-28 14:45:07 -0800,00:00:00,00:00:00
60,1,,14.0,,00:00:00,,8.0,,00:00:00,44.2,61.0,2026-03-01 22:55:09 -0800,00:00:00,00:00:00
61,2,14.0,14.0,2026-02-22 16:05:58 -0800,00:00:00,,8.0,,00:00:00,61.0,61.0,2026-02-22 16:35:14 -0800,00:00:00,00:00:00
62,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
63,4,14.0,14.0,2026-02-20 12:13:22 -0800,00:00:00,8.0,8.0,2026-02-20 12:31:06 -0800,00:00:00,44.3,61.0,2026-02-20 12:42:07 -0800,00:00:00,00:00:00
64,1,,14.0,,00:00:00,,8.0,,00:00:00,53.1,61.0,2026-02-19 22:43:43 -0800,00:00:00,00:00:00
65,2,14.0,14.0,2026-02-28 17:29:19 -0800,00:00:00,,8.0,,00:00:00,40.1,61.0,2026-03-02 03:33:42 -0800,03:34:42,03:34:42
66,3,,14.0,,00:00:00,8.0,8.0,2026-02-23 17:46:51 -0800,00:00:00,61.0,61.0,2026-02-23 17:57:36 -0800,00:00:00,00:00:00
67,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
68,1,,14.0,,00:00:00,,8.0,,00:00:00,43.1,61.0,2026-02-26 15:43:32 -0800,00:00:00,00:00:00
69,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
70,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
71,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
72,1,,14.0,,00:00:00,,8.0,,00:00:00,51.0,61.0,2026-02-24 21:27:47 -0800,00:00:00,00:00:00
73,2,14.0,14.0,2026-03-02 01:25:08 -0800,01:26:08,,8.0,,00:00:00,39.0,61.0,2026-03-02 01:37:02 -0800,01:38:02,03:04:10
74,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
75,4,14.0,14.0,2026-02-26 11:03:14 -0800,00:00:00,8.0,8.0,2026-02-26 10:58:15 -0800,00:00:00,46.2,61.0,2026-02-26 11:36:47 -0800,00:00:00,00:00:00
76,1,,14.0,,00:00:00,,8.0,,00:00:00,35.2,61.0,2026-02-25 15:51:29 -0800,00:00:00,00:00:00
77,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
78,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
79,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
80,1,,14.0,,00:00:00,,8.0,,00:00:00,49.1,61.0,2026-02-22 21:15:20 -0800,00:00:00,00:00:00
81,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
82,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
83,4,14.0,14.0,2026-02-28 21:59:44 -0800,00:00:00,8.0,8.0,2026-03-01 19:01:52 -0800,00:00:00,24.2,61.0,2026-03-01 19:10:50 -0800,00:00:00,00:00:00
84,1,,14.0,,00:00:00,,8.0,,00:00:00,23.3,61.0,2026-02-26 17:29:44 -0800,00:00:00,00:00:00
85,2,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
86,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
87,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
88,1,,14.0,,00:00:00,,8.0,,00:00:00,17.3,61.0,2026-02-23 18:06:59 -0800,00:00:00,00:00:00
89,2,14.0,14.0,2026-02-28 18:08:04 -0800,00:00:00,,8.0,,00:00:00,40.2,61.0,2026-02-28 18:20:50 -0800,00:00:00,00:00:00
90,3,,14.0,,00:00:00,8.0,8.0,2026-03-01 21:46:39 -0800,00:00:00,29.1,61.0,2026-03-01 22:08:54 -0800,00:00:00,00:00:00
91,4,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
92,1,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
93,2,13.0,14.0,2026-02-27 23:41:10 -0800,00:00:00,,8.0,,00:00:00,20.4,61.0,2026-02-28 00:02:29 -0800,00:00:00,00:00:00
94,3,,14.0,,00:00:00,,8.0,,00:00:00,,61.0,,00:00:00,00:00:00
